x_m_local,y_m_local,z_m_terrain,height_m,crown_radius_m,asset_type,scale,yaw_degrees
254.0,619.0,6.18,4.296,1.203,medium_tree,0.75,316.117
326.0,695.0,6.299,4.259,1.193,medium_tree,0.75,66.79
346.0,695.0,6.159,4.08,1.142,medium_tree,0.75,331.524
202.0,821.0,6.386,4.039,1.131,medium_tree,0.75,340.764
330.0,713.0,6.296,4.022,1.126,medium_tree,0.75,314.823
294.0,739.0,6.239,3.941,1.103,small_tree,1.126,41.667
167.0,880.0,6.349,3.862,1.081,small_tree,1.103,69.743
348.0,625.0,6.167,3.809,1.066,small_tree,1.088,123.025
307.0,727.0,6.181,3.792,1.062,small_tree,1.083,178.485
212.0,698.0,6.114,3.792,1.062,small_tree,1.083,323.414
403.0,668.0,6.169,3.789,1.061,small_tree,1.082,2.325
255.0,794.0,6.34,3.783,1.059,small_tree,1.081,81.868
236.0,642.0,6.105,3.783,1.059,small_tree,1.081,285.716
323.0,715.0,6.247,3.774,1.057,small_tree,1.078,149.143
244.0,677.0,6.127,3.764,1.054,small_tree,1.076,30.173
305.0,634.0,6.264,3.755,1.051,small_tree,1.073,141.154
348.0,718.0,6.251,3.749,1.05,small_tree,1.071,122.246
315.0,709.0,6.251,3.737,1.046,small_tree,1.068,8.029
356.0,726.0,6.357,3.713,1.04,small_tree,1.061,320.558
397.0,627.0,6.124,3.684,1.032,small_tree,1.053,8.593
123.0,823.0,6.172,3.67,1.028,small_tree,1.049,300.895
375.0,663.0,6.151,3.67,1.028,small_tree,1.049,165.455
267.0,611.0,6.276,3.667,1.027,small_tree,1.048,14.555
192.0,851.0,6.279,3.645,1.021,small_tree,1.042,292.677
173.0,716.0,6.029,3.645,1.021,small_tree,1.042,279.487
180.0,822.0,6.293,3.641,1.019,small_tree,1.04,258.166
153.0,746.0,6.142,3.633,1.017,small_tree,1.038,23.55
201.0,859.0,6.322,3.618,1.013,small_tree,1.034,226.364
166.0,726.0,6.096,3.618,1.013,small_tree,1.034,355.025
132.0,791.0,6.148,3.609,1.01,small_tree,1.031,277.673
288.0,787.0,6.301,3.605,1.009,small_tree,1.03,77.069
306.0,641.0,6.245,3.603,1.009,small_tree,1.029,30.914
407.0,680.0,6.278,3.585,1.004,small_tree,1.024,350.507
364.0,724.0,6.251,3.584,1.004,small_tree,1.024,266.577
146.0,764.0,6.172,3.581,1.003,small_tree,1.023,352.356
329.0,721.0,6.175,3.578,1.002,small_tree,1.022,283.022
162.0,738.0,6.13,3.569,1.0,small_tree,1.02,48.08
394.0,664.0,6.255,3.565,1.0,small_tree,1.019,42.98
388.0,702.0,6.388,3.564,1.0,small_tree,1.018,79.887
228.0,650.0,5.983,3.563,1.0,small_tree,1.018,225.324
230.0,636.0,6.093,3.557,1.0,small_tree,1.016,252.235
280.0,697.0,6.152,3.552,1.0,small_tree,1.015,277.074
360.0,639.0,6.194,3.536,1.0,small_tree,1.01,145.876
169.0,886.0,6.352,3.533,1.0,small_tree,1.009,126.365
306.0,762.0,6.256,3.532,1.0,small_tree,1.009,324.436
150.0,852.0,6.285,3.527,1.0,small_tree,1.008,33.17
187.0,840.0,6.276,3.52,1.0,small_tree,1.006,73.873
108.0,835.0,6.213,3.513,1.0,small_tree,1.004,116.741
255.0,733.0,6.276,3.505,1.0,small_tree,1.001,290.72
299.0,720.0,6.181,3.505,1.0,small_tree,1.001,166.714
121.0,853.0,6.246,3.504,1.0,small_tree,1.001,307.457
330.0,729.0,6.295,3.501,1.0,small_tree,1.0,329.897
132.0,768.0,6.123,3.484,1.0,small_tree,0.995,101.467
241.0,782.0,6.259,3.482,1.0,small_tree,0.995,112.319
193.0,716.0,6.072,3.481,1.0,small_tree,0.995,42.396
154.0,755.0,6.18,3.461,1.0,small_tree,0.989,50.914
234.0,832.0,6.242,3.444,1.0,small_tree,0.984,293.552
173.0,754.0,6.209,3.441,1.0,small_tree,0.983,91.443
232.0,838.0,6.315,3.435,1.0,small_tree,0.981,29.978
263.0,639.0,6.084,3.432,1.0,small_tree,0.981,317.423
254.0,723.0,6.165,3.421,1.0,small_tree,0.978,108.998
140.0,906.0,6.437,3.417,1.0,small_tree,0.976,292.197
157.0,833.0,6.258,3.392,1.0,small_tree,0.969,22.852
405.0,608.0,6.186,3.376,1.0,small_tree,0.964,244.17
144.0,802.0,6.214,3.36,1.0,small_tree,0.96,28.023
270.0,667.0,6.154,3.356,1.0,small_tree,0.959,160.171
182.0,737.0,6.14,3.354,1.0,small_tree,0.958,136.433
164.0,816.0,6.235,3.354,1.0,small_tree,0.958,91.889
304.0,608.0,6.184,3.353,1.0,small_tree,0.958,106.131
135.0,832.0,6.235,3.351,1.0,small_tree,0.958,82.226
386.0,672.0,6.262,3.346,1.0,small_tree,0.956,256.381
167.0,781.0,6.219,3.343,1.0,small_tree,0.955,49.559
318.0,678.0,6.251,3.335,1.0,small_tree,0.953,223.26
257.0,778.0,6.307,3.331,1.0,small_tree,0.952,57.308
299.0,631.0,6.21,3.331,1.0,small_tree,0.952,347.997
178.0,797.0,6.288,3.325,1.0,small_tree,0.95,213.049
214.0,816.0,6.3,3.322,1.0,small_tree,0.949,184.848
239.0,457.0,5.264,3.322,1.0,small_tree,0.949,226.367
282.0,815.0,6.309,3.319,1.0,small_tree,0.948,147.695
284.0,608.0,6.3,3.317,1.0,small_tree,0.948,267.801
123.0,815.0,6.166,3.316,1.0,small_tree,0.947,168.401
148.0,834.0,6.31,3.315,1.0,small_tree,0.947,234.411
241.0,651.0,6.017,3.304,1.0,small_tree,0.944,50.89
147.0,842.0,6.236,3.301,1.0,small_tree,0.943,269.253
113.0,824.0,6.23,3.298,1.0,small_tree,0.942,182.83
119.0,844.0,6.221,3.298,1.0,small_tree,0.942,63.447
250.0,412.0,5.242,3.292,1.0,small_tree,0.941,143.033
316.0,611.0,6.066,3.289,1.0,small_tree,0.94,200.211
153.0,860.0,6.309,3.286,1.0,small_tree,0.939,8.101
163.0,824.0,6.28,3.278,1.0,small_tree,0.937,326.113
324.0,608.0,6.296,3.278,1.0,small_tree,0.936,195.454
293.0,653.0,6.218,3.277,1.0,small_tree,0.936,107.628
132.0,854.0,6.279,3.277,1.0,small_tree,0.936,232.138
340.0,623.0,6.209,3.277,1.0,small_tree,0.936,7.872
283.0,669.0,6.142,3.271,1.0,small_tree,0.934,62.532
259.0,712.0,6.184,3.258,1.0,small_tree,0.931,216.79
188.0,771.0,6.279,3.255,1.0,small_tree,0.93,47.54
249.0,427.0,5.241,3.254,1.0,small_tree,0.93,349.253
224.0,672.0,6.066,3.251,1.0,small_tree,0.929,327.476
284.0,664.0,6.172,3.246,1.0,small_tree,0.927,141.752
111.0,853.0,6.231,3.245,1.0,small_tree,0.927,49.918
146.0,894.0,6.323,3.242,1.0,small_tree,0.926,341.118
91.0,837.0,6.262,3.235,1.0,small_tree,0.924,182.972
265.0,459.0,5.251,3.232,1.0,small_tree,0.923,241.239
167.0,840.0,6.251,3.226,1.0,small_tree,0.922,191.82
146.0,900.0,6.282,3.225,1.0,small_tree,0.921,99.516
208.0,888.0,6.363,3.22,1.0,small_tree,0.92,100.224
390.0,623.0,6.275,3.219,1.0,small_tree,0.92,149.637
247.0,618.0,6.111,3.213,1.0,small_tree,0.918,90.31
277.0,457.0,5.241,3.208,1.0,small_tree,0.917,183.42
183.0,777.0,6.233,3.207,1.0,small_tree,0.916,102.43
354.0,722.0,6.297,3.207,1.0,small_tree,0.916,190.95
137.0,788.0,6.133,3.203,1.0,small_tree,0.915,68.627
383.0,685.0,6.155,3.202,1.0,small_tree,0.915,82.161
160.0,728.0,6.081,3.2,1.0,small_tree,0.914,257.126
299.0,427.0,5.282,3.2,1.0,small_tree,0.914,219.888
197.0,742.0,6.164,3.2,1.0,small_tree,0.914,312.806
274.0,466.0,5.285,3.198,1.0,small_tree,0.914,159.483
229.0,727.0,6.258,3.197,1.0,small_tree,0.914,217.085
331.0,655.0,6.275,3.195,1.0,small_tree,0.913,353.522
273.0,701.0,6.206,3.191,1.0,small_tree,0.912,220.126
374.0,608.0,6.178,3.191,1.0,small_tree,0.912,28.994
110.0,867.0,6.248,3.188,1.0,small_tree,0.911,233.973
227.0,802.0,6.232,3.187,1.0,small_tree,0.91,354.531
301.0,433.0,5.308,3.187,1.0,small_tree,0.91,126.8
102.0,815.0,6.206,3.182,1.0,small_tree,0.909,305.156
255.0,647.0,6.169,3.182,1.0,small_tree,0.909,113.744
193.0,693.0,6.059,3.179,1.0,small_tree,0.908,137.652
434.0,609.0,6.081,3.179,1.0,small_tree,0.908,39.434
237.0,756.0,6.285,3.179,1.0,small_tree,0.908,222.255
294.0,448.0,5.303,3.171,1.0,small_tree,0.906,345.031
138.0,772.0,6.11,3.168,1.0,small_tree,0.905,55.382
410.0,662.0,6.236,3.167,1.0,small_tree,0.905,353.297
218.0,789.0,6.246,3.166,1.0,small_tree,0.905,282.845
238.0,626.0,6.005,3.164,1.0,small_tree,0.904,35.33
291.0,427.0,5.272,3.158,1.0,small_tree,0.902,17.683
333.0,607.0,6.2,3.158,1.0,small_tree,0.902,141.665
298.0,412.0,5.207,3.157,1.0,small_tree,0.902,250.873
340.0,669.0,6.275,3.153,1.0,small_tree,0.901,290.558
202.0,783.0,6.212,3.143,1.0,small_tree,0.898,29.92
238.0,818.0,6.273,3.139,1.0,small_tree,0.897,117.106
240.0,837.0,6.273,3.124,1.0,small_tree,0.893,113.071
255.0,762.0,6.233,3.121,1.0,small_tree,0.892,63.258
324.0,657.0,6.311,3.116,1.0,small_tree,0.89,342.432
187.0,757.0,6.171,3.11,1.0,small_tree,0.889,169.115
139.0,918.0,6.422,3.1,1.0,small_tree,0.886,176.951
166.0,794.0,6.221,3.1,1.0,small_tree,0.886,97.647
136.0,844.0,6.298,3.099,1.0,small_tree,0.885,269.09
257.0,432.0,5.247,3.098,1.0,small_tree,0.885,335.849
274.0,832.0,6.358,3.097,1.0,small_tree,0.885,242.682
254.0,422.0,5.248,3.091,1.0,small_tree,0.883,322.053
285.0,432.0,5.243,3.084,1.0,small_tree,0.881,101.111
354.0,689.0,6.277,3.083,1.0,small_tree,0.881,222.457
187.0,858.0,6.321,3.083,1.0,small_tree,0.881,86.525
268.0,432.0,5.214,3.077,1.0,small_tree,0.879,19.418
152.0,869.0,6.302,3.071,1.0,small_tree,0.877,323.226
275.0,724.0,6.189,3.071,1.0,small_tree,0.877,178.697
123.0,831.0,6.216,3.065,1.0,small_tree,0.876,350.51
202.0,799.0,6.248,3.063,1.0,small_tree,0.875,18.817
314.0,760.0,6.459,3.063,1.0,small_tree,0.875,214.606
315.0,620.0,6.284,3.061,1.0,small_tree,0.875,311.839
282.0,449.0,5.214,3.059,1.0,small_tree,0.874,175.341
314.0,432.0,5.235,3.058,1.0,small_tree,0.874,292.594
261.0,427.0,5.251,3.057,1.0,small_tree,0.874,152.142
198.0,897.0,6.376,3.057,1.0,small_tree,0.873,184.191
287.0,756.0,6.348,3.052,1.0,small_tree,0.872,341.415
134.0,886.0,6.372,3.049,1.0,small_tree,0.871,33.367
310.0,412.0,5.224,3.048,1.0,small_tree,0.871,353.909
204.0,916.0,6.479,3.046,1.0,small_tree,0.87,265.862
249.0,844.0,6.319,3.045,1.0,small_tree,0.87,133.042
170.0,914.0,6.426,3.044,1.0,small_tree,0.87,267.908
166.0,865.0,6.297,3.042,1.0,small_tree,0.869,13.346
336.0,613.0,6.268,3.04,1.0,small_tree,0.869,158.223
235.0,425.0,5.262,3.038,1.0,small_tree,0.868,7.415
353.0,165.0,4.841,3.029,1.0,small_tree,0.865,84.391
296.0,731.0,6.183,3.028,1.0,small_tree,0.865,202.209
93.0,893.0,6.367,3.027,1.0,small_tree,0.865,280.657
167.0,940.0,6.436,3.025,1.0,small_tree,0.864,38.926
245.0,808.0,6.279,3.024,1.0,small_tree,0.864,131.264
94.0,855.0,6.262,3.022,1.0,small_tree,0.864,215.675
120.0,868.0,6.264,3.02,1.0,small_tree,0.863,7.165
293.0,707.0,6.23,3.011,1.0,small_tree,0.86,321.245
253.0,754.0,6.24,3.011,1.0,small_tree,0.86,256.771
243.0,855.0,6.299,3.01,1.0,small_tree,0.86,269.723
109.0,789.0,6.166,3.008,1.0,small_tree,0.86,276.882
219.0,413.0,5.356,3.007,1.0,small_tree,0.859,66.643
246.0,754.0,6.227,3.005,1.0,small_tree,0.859,108.183
189.0,744.0,6.12,3.002,1.0,small_tree,0.858,328.415
144.0,739.0,6.248,3.002,1.0,small_tree,0.858,3.92
248.0,641.0,6.096,3.002,1.0,small_tree,0.858,288.228
198.0,673.0,6.099,2.999,1.0,small_tree,0.857,153.189
417.0,627.0,6.256,2.995,1.0,small_tree,0.856,257.193
208.0,784.0,6.33,2.99,1.0,small_tree,0.854,331.61
268.0,472.0,5.241,2.986,1.0,small_tree,0.853,338.469
235.0,469.0,5.38,2.983,1.0,small_tree,0.852,64.154
319.0,699.0,6.298,2.983,1.0,small_tree,0.852,50.99
217.0,758.0,6.221,2.981,1.0,small_tree,0.852,145.519
211.0,830.0,6.328,2.981,1.0,small_tree,0.852,271.211
337.0,701.0,6.154,2.978,1.0,small_tree,0.851,255.12
357.0,654.0,6.43,2.976,1.0,small_tree,0.85,314.814
96.0,849.0,6.242,2.972,1.0,small_tree,0.849,110.326
276.0,826.0,6.348,2.97,1.0,small_tree,0.849,234.322
392.0,681.0,6.462,2.959,1.0,small_tree,0.845,262.421
181.0,754.0,6.17,2.953,1.0,small_tree,0.844,199.501
427.0,652.0,6.26,2.951,1.0,small_tree,0.843,343.807
355.0,714.0,6.344,2.95,1.0,small_tree,0.843,223.391
378.0,629.0,6.218,2.944,1.0,small_tree,0.841,139.309
287.0,750.0,6.276,2.941,1.0,small_tree,0.84,196.838
420.0,634.0,6.111,2.936,1.0,small_tree,0.839,79.856
254.0,453.0,5.344,2.934,1.0,small_tree,0.838,43.946
263.0,661.0,6.224,2.929,1.0,small_tree,0.837,175.424
238.0,449.0,5.359,2.928,1.0,small_tree,0.837,119.603
153.0,893.0,6.359,2.925,1.0,small_tree,0.836,124.899
304.0,685.0,6.248,2.923,1.0,small_tree,0.835,113.706
249.0,740.0,6.228,2.922,1.0,small_tree,0.835,242.543
138.0,864.0,6.248,2.92,1.0,small_tree,0.834,237.81
245.0,769.0,6.315,2.92,1.0,small_tree,0.834,180.092
131.0,899.0,6.386,2.916,1.0,small_tree,0.833,249.819
272.0,412.0,5.234,2.916,1.0,small_tree,0.833,26.107
346.0,610.0,6.096,2.911,1.0,small_tree,0.832,133.34
229.0,415.0,5.264,2.911,1.0,small_tree,0.832,20.794
241.0,714.0,6.234,2.907,1.0,small_tree,0.831,341.89
186.0,911.0,6.439,2.906,1.0,small_tree,0.83,65.711
146.0,926.0,6.408,2.903,1.0,small_tree,0.829,303.571
216.0,768.0,6.245,2.902,1.0,small_tree,0.829,236.886
293.0,155.0,4.735,2.9,1.0,small_tree,0.829,153.845
208.0,709.0,6.116,2.891,1.0,small_tree,0.826,209.38
387.0,154.0,4.753,2.888,1.0,small_tree,0.825,326.076
252.0,700.0,6.195,2.888,1.0,small_tree,0.825,325.679
209.0,759.0,6.161,2.885,1.0,small_tree,0.824,173.967
198.0,767.0,6.195,2.882,1.0,small_tree,0.824,91.15
242.0,411.0,5.305,2.879,1.0,small_tree,0.823,173.214
184.0,863.0,6.309,2.874,1.0,small_tree,0.821,140.025
175.0,895.0,6.362,2.874,1.0,small_tree,0.821,103.418
384.0,608.0,6.113,2.873,1.0,small_tree,0.821,86.217
285.0,166.0,4.778,2.866,1.0,small_tree,0.819,22.522
382.0,143.0,4.672,2.862,1.0,small_tree,0.818,313.644
120.0,878.0,6.378,2.86,1.0,small_tree,0.817,299.067
291.0,198.0,5.115,2.859,1.0,small_tree,0.817,139.748
180.0,726.0,6.166,2.844,1.0,small_tree,0.813,54.702
275.0,803.0,6.367,2.838,1.0,small_tree,0.811,78.344
121.0,892.0,6.398,2.837,1.0,small_tree,0.811,180.204
321.0,155.0,4.74,2.837,1.0,small_tree,0.811,23.211
108.0,912.0,6.424,2.836,1.0,small_tree,0.81,212.02
268.0,448.0,5.352,2.835,1.0,small_tree,0.81,349.83
396.0,609.0,6.126,2.835,1.0,small_tree,0.81,24.141
303.0,736.0,6.355,2.832,1.0,small_tree,0.809,67.297
228.0,882.0,6.532,2.829,1.0,small_tree,0.808,148.311
392.0,642.0,6.267,2.825,1.0,small_tree,0.807,178.457
334.0,154.0,4.82,2.824,1.0,small_tree,0.807,98.564
158.0,921.0,6.516,2.823,1.0,small_tree,0.807,90.77
217.0,843.0,6.349,2.819,1.0,small_tree,0.806,19.505
428.0,623.0,6.161,2.813,1.0,small_tree,0.804,26.903
251.0,853.0,6.379,2.81,1.0,small_tree,0.803,47.701
366.0,608.0,6.163,2.81,1.0,small_tree,0.803,231.062
440.0,622.0,6.086,2.799,1.0,small_tree,0.8,4.532
326.0,749.0,6.352,2.795,1.0,small_tree,0.799,188.529
257.0,467.0,5.273,2.795,1.0,small_tree,0.799,358.353
253.0,822.0,6.319,2.792,1.0,small_tree,0.798,9.346
163.0,947.0,6.447,2.789,1.0,small_tree,0.797,104.936
328.0,686.0,6.357,2.787,1.0,small_tree,0.796,159.245
163.0,935.0,6.456,2.786,1.0,small_tree,0.796,147.241
234.0,675.0,6.069,2.786,1.0,small_tree,0.796,86.402
445.0,609.0,6.072,2.785,1.0,small_tree,0.796,27.869
151.0,915.0,6.45,2.78,1.0,small_tree,0.794,281.34
340.0,639.0,6.299,2.777,1.0,small_tree,0.794,11.747
303.0,786.0,6.331,2.777,1.0,small_tree,0.793,212.237
222.0,877.0,6.386,2.776,1.0,small_tree,0.793,120.678
120.0,899.0,6.429,2.77,1.0,small_tree,0.791,299.994
138.0,942.0,6.509,2.763,1.0,small_tree,0.79,229.186
303.0,713.0,6.302,2.757,1.0,small_tree,0.788,312.077
426.0,609.0,6.084,2.752,1.0,small_tree,0.786,66.951
176.0,696.0,6.141,2.75,1.0,small_tree,0.786,189.191
305.0,651.0,6.28,2.733,1.0,small_tree,0.781,25.093
239.0,740.0,6.248,2.732,1.0,small_tree,0.781,315.57
257.0,739.0,6.267,2.725,1.0,small_tree,0.779,163.84
270.0,623.0,6.298,2.718,1.0,small_tree,0.777,119.69
215.0,729.0,6.103,2.709,1.0,small_tree,0.774,13.831
266.0,199.0,5.013,2.707,1.0,small_tree,0.773,202.255
230.0,868.0,6.384,2.702,1.0,small_tree,0.772,223.265
353.0,607.0,6.261,2.701,1.0,small_tree,0.772,39.777
378.0,165.0,4.825,2.7,1.0,small_tree,0.771,205.696
153.0,934.0,6.464,2.699,1.0,small_tree,0.771,69.926
292.0,762.0,6.322,2.697,1.0,small_tree,0.771,99.364
175.0,872.0,6.334,2.694,1.0,small_tree,0.77,146.761
440.0,647.0,6.173,2.693,1.0,small_tree,0.77,141.903
308.0,668.0,6.368,2.69,1.0,small_tree,0.769,284.813
113.0,901.0,6.422,2.683,1.0,small_tree,0.767,230.38
200.0,876.0,6.422,2.679,1.0,small_tree,0.765,144.84
286.0,177.0,4.875,2.669,1.0,small_tree,0.763,33.484
159.0,844.0,6.305,2.659,1.0,small_tree,0.76,331.123
182.0,877.0,6.393,2.656,1.0,small_tree,0.759,132.677
278.0,154.0,4.875,2.653,1.0,small_tree,0.758,29.711
101.0,892.0,6.395,2.652,1.0,small_tree,0.758,297.606
221.0,884.0,6.436,2.638,1.0,small_tree,0.754,146.191
225.0,753.0,6.288,2.637,1.0,small_tree,0.753,1.401
181.0,894.0,6.421,2.628,1.0,small_tree,0.751,306.108
247.0,835.0,6.389,2.618,1.0,small_tree,0.748,17.572
404.0,619.0,6.235,2.595,1.0,small_tree,0.742,211.181
